flowerNum,trt,daysOpen,distance,shakeNumber,temp,humidity,notes,dropFromAnalysis,file,pxToMmConversion,firstPollen,firstPollenOutOfScreen,blankFrames,slope,int,aperture,focus,frameRate,shutter,amplitude,freq,sec,plant,openTime,DateOfExp
14,Ambient,4,3,1,23.3,54,NA,,014_A_4_03_01 06152014,32.90855038,37,88,235,0.001734038,0.043724109,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
14,Ambient,4,3,2,23.3,54,NA,,014_A_4_03_02 06152014,32.99790529,89,142,300,0.009847466,0.078733598,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
15,Ambient,3,4,1,23.5,54,NA,,015_A_3_04_01 06152014,33.09256876,67,137,234,0.011113419,0.089261667,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
15,Ambient,3,4,2,23.5,54,NA,,015_A_3_04_02 06152014,33.11340045,39,100,219,0.015303383,0.128979798,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
16,Ambient,2,4,1,23.6,54,NA,,016_A_2_04_01 06152014,33.76258298,30,65,183,0.022561661,0.21155227,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
16,Ambient,2,4,2,23.6,54,NA,,016_A_2_04_02 06152014,33.59902647,121,157,277,0.026656347,0.159531326,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
17,Ambient,1,1,2,23.6,54,NA,,017_A_1_01_02 06152014,33.7181964,123,175,281,0.010477819,0.083436231,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
18,Ambient,2,7,1,23.7,54,NA,,018_A_2_07_01 06152014,33.62948367,90,159,342,0.006661993,0.068990232,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
18,Ambient,2,7,2,23.7,54,NA,,018_A_2_07_02 06152014,33.53572843,83,155,282,0.006331259,0.062729103,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
19,Ambient,3,4,1,23.8,54,NA,,019_A_3_04_01 06152014,33.71516981,136,162,348,0.016562908,0.080870066,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
19,Ambient,3,4,2,23.8,54,NA,,019_A_3_04_02 06152014,33.61158043,42,96,197,0.007731726,0.078134933,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
20,Ambient,4,6,1,23.8,54,NA,,020_A_4_06_01 06152014,33.58818981,28,106,312,0.002327221,0.037586739,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
20,Ambient,4,6,2,23.8,54,NA,,020_A_4_06_02 06152014,33.78510427,53,136,231,0.003886397,0.044572054,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
21,Ambient,1,1,1,23.7,55,NA,,021_A_1_01_01 06152014,33.2651159,34,74,204,0.018009595,0.130092349,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
21,Ambient,1,1,2,23.7,55,NA,,021_A_1_01_02 06152014,33.56557574,95,151,261,0.011569053,0.089538171,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA,
22,Ambient,1,7,1,24.1,55,NA,,022_A_1_07_01 06152014,33.61335317,143,178,378,0.006574263,0.031765033,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
22,Ambient,1,7,2,24.1,55,NA,,022_A_1_07_02 06152014,33.7094675,44,87,181,0.003088205,0.014449945,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
23,Ambient,3,1,1,24.2,55,petals forward,,023_A_3_01_01 06152014,33.53424424,110,165,326,0.008866537,0.0596188,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
23,Ambient,3,1,2,24.2,55,petals forward,,023_A_3_01_02 06152014,33.44562197,68,180,302,0.001279032,0.025746204,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
24,Ambient,3,1,1,24.3,55,NA,,024_A_3_01_01 06152014,33.27382963,32,88,171,0.02308225,0.205530348,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
24,Ambient,3,1,2,24.3,55,NA,,024_A_3_01_02 06152014,33.31806901,31,66,202,0.020776064,0.201234825,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
25,Ambient,1,2,1,24.3,55,petals forward,,025_A_1_02_01 06152014,33.55699359,41,91,207,0.011832825,0.092473692,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
25,Ambient,1,2,2,24.3,55,petals forward,,025_A_1_02_02 06152014,33.65367882,54,99,280,0.019742976,0.108798607,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
26,Ambient,2,1,1,24.4,55,petals forward,,026_A_2_01_01 06152014,33.60897628,95,136,238,0.031098375,0.113567516,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
26,Ambient,2,1,2,24.4,55,petals forward,,026_A_2_01_02 06152014,33.6599592,47,102,251,0.007678617,0.070215798,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
27,Ambient,1,5,1,24.4,54,NA,,027_A_1_05_01 06152014,33.25141023,115,162,291,0.014467139,0.121480923,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
27,Ambient,1,5,2,24.4,54,NA,,027_A_1_05_02 06152014,33.2271643,83,125,322,0.009715981,0.085824484,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
28,Ambient,4,12,1,24.4,55,NA,,028_A_4_12_01 06152014,33.6012599,74,102,235,0.017770552,0.1511047,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
28,Ambient,4,12,2,24.4,55,NA,,028_A_4_12_02 06152014,33.3945757,130,146,351,0.017684011,0.081440312,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
29,Ambient,4,6,1,24.4,55,NA,,029_A_4_06_01 06152014,33.18963851,155,222,377,0.009767228,0.079700365,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
29,Ambient,4,6,2,24.4,55,NA,,029_A_4_06_02 06152014,33.48532626,30,59,265,0.015825718,0.070445302,16,1:15,500,"""1/1000""",0.38,279,0.1792115,big002,NA
